,ID,A1,CA3,CA5,RCC,ROC,D,Point,end,pred,radius,centre
18229,7334,3.083493686405994,9.148500242013592,15.16589920914408,459.3029121627847,342.53232286729565,35.01371287435568,POINT (-791115.9455999993 -1160572.7386000007),False,1,291.04808048212846,POINT (-791300.5987484187 -1160797.397925438)
18230,7334,3.01918592481443,9.159283992399962,15.224296637600672,236.95074101174225,335.474122959509,22.95409821796535,POINT (-791090 -1160596.25),False,1,291.04808048212846,POINT (-791300.5987484187 -1160797.397925438)
18231,7334,3.0566043811795383,9.094982320401511,15.179807993039354,210.03829150707045,164.32059964879238,12.73409559570058,POINT (-791075 -1160613.625),False,1,291.04808048212846,POINT (-791300.5987484187 -1160797.397925438)
18232,7334,3.0191920144075435,9.07712838181893,15.174307877880135,99.69963688801852,98.31356560493283,11.65718081892516,POINT (-791067.5267999992 -1160623.9356000014),False,0,,
18233,7334,3.001331986231849,9.098517571886166,15.184992363135592,84.46499391420093,100.29879572782085,12.017620833100974,POINT (-791061.8891999982 -1160634.1389000006),False,1,6.008810416550487,POINT (-791059.7470499985 -1160639.7529000007)
18234,7334,3.0779935712467745,9.109195967548512,15.150114412031844,189.25274055913025,127.1503909310908,12.0509235304942,POINT (-791057.6048999988 -1160645.3669000007),False,1,6.008810416550487,POINT (-791059.7470499985 -1160639.7529000007)
18235,7334,3.029870410069888,9.12959041139245,15.15518938030046,109.80329391771762,119.14525621022456,12.47124781036886,POINT (-791054.0329999998 -1160656.8762999997),True,0,,
18236,7335,3.06568109167146,9.182556143793695,15.354003527994164,141.6787089070505,109.7721181022482,10.11833350333224,POINT (-792748.4902000017 -1161839.3696000017),True,0,,
18237,7335,3.077367019285851,9.237519794277713,15.349346865071702,248.40642312669573,227.5128857304284,21.782102492939057,POINT (-792757.6182999983 -1161843.735199999),False,0,,
18238,7335,3.094471683320402,9.244157740563857,15.38941928327699,965.9027453593916,2703.890345739469,69.23115718374206,POINT (-792776.625 -1161854.375),False,0,,
18239,7335,3.0723190379576035,9.246371172319678,15.45472365658842,976.9517231809178,1715.0189898374424,66.09569293834508,POINT (-792835.375 -1161891),False,0,,
18240,7335,3.0795804510416738,9.282884953982167,15.49452122494149,803.7238025867728,1095.013014320872,33.56459490668701,POINT (-792893.75 -1161922),False,1,,
